annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000496425.1	0	2
ENST00000245663.8	0	0
ENST00000601296.2	0	1
ENST00000615907.4	0	0
ENST00000369927.8	0	0
ENST00000346249.8	105	66
ENST00000348257.9	45	22
ENST00000352482.8	0	0
ENST00000474176.2	0	0
ENST00000360864.8	0	2
ENST00000470551.1	0	3
ENST00000623569.1	0	0
ENST00000369888.5	0	0
ENST00000369886.7	1	1
ENST00000498830.5	1	0
ENST00000266079.4	36	38
ENST00000636176.1	0	0
ENST00000358393.1	1	0
ENST00000340356.8	4	4
ENST00000475792.1	0	0
ENST00000343484.9	1	0
ENST00000476113.1	0	0
ENST00000495168.1	0	0
ENST00000455524.1	0	0
ENST00000395042.1	3	4
ENST00000332298.9	17	12
ENST00000355631.8	0	0
ENST00000369758.8	0	0
ENST00000308824.10	5	4
TALONT000004516	2	0
TALONT000004562	1	0
TALONT000004762	2	0
TALONT000004852	0	0
TALONT000004863	1	1
TALONT000004927	67	17
TALONT000005053	2	1
TALONT000005236	3	2
TALONT000005245	0	0
TALONT000005280	1	0
TALONT000005545	0	1
TALONT000005555	1	1
TALONT000005675	1	0
TALONT000005687	5	1
TALONT000005727	1	0
TALONT000005728	1	3
TALONT000005732	2	2
TALONT000006153	0	0
TALONT000006154	0	0
TALONT000006184	62	33
TALONT000006403	6	5
TALONT000006405	1	3
TALONT000006436	3	0
TALONT000006442	1	0
TALONT000006446	0	0
TALONT000006454	0	0
TALONT000006455	0	0
TALONT000006505	0	0
TALONT000006538	5	0
TALONT000006558	0	2
TALONT000006563	1	1
TALONT000006566	0	0
TALONT000006862	0	0
TALONT000006965	18	12
TALONT000006969	1	2
TALONT000007076	0	0
TALONT000007129	0	0
TALONT000007157	0	0
TALONT000007219	2	1
TALONT000007221	2	3
TALONT000007227	1	1
TALONT000007345	0	0
TALONT000007409	2	0
TALONT000007414	0	0
TALONT000007420	0	0
TALONT000007684	7	3
TALONT000007714	20	10
TALONT000007718	3	3
TALONT000007848	8	5
TALONT000007904	2	0
TALONT000007977	3	1
TALONT000008056	2	2
TALONT000008084	0	3
TALONT000008101	2	0
TALONT000008246	0	0
TALONT000008247	0	0
TALONT000008248	0	0
TALONT000008250	0	0
TALONT000008255	0	0
TALONT000008259	0	0
TALONT000008266	0	0
TALONT000008267	0	0
TALONT000008271	0	0
TALONT000008288	0	0
TALONT000008293	0	0
TALONT000008295	0	0
TALONT000008396	0	0
TALONT000008398	0	0
TALONT000008447	0	0
TALONT000008450	0	0
TALONT000008658	8	3
TALONT000008712	3	3
TALONT000008733	1	0
TALONT000008741	3	1
TALONT000008783	49	19
TALONT000008810	9	1
TALONT000008811	2	0
TALONT000008815	22	10
TALONT000008822	2	4
TALONT000008913	3	2
TALONT000008927	3	2
TALONT000008971	0	1
TALONT000009065	9	9
TALONT000009125	3	1
TALONT000009211	1	1
TALONT000009212	0	0
TALONT000009299	3	4
TALONT000009303	6	3
TALONT000009304	1	0
TALONT000009305	2	1
TALONT000009483	3	2
TALONT000009498	3	0
TALONT000009515	1	2
TALONT000009551	16	4
TALONT000009552	0	1
TALONT000009557	1	0
TALONT000009570	0	0
TALONT000009582	4	1
TALONT000009843	28	19
TALONT000009949	16	3
TALONT000009991	4	2
TALONT000010000	0	0
TALONT000010005	0	0
TALONT000010184	10	15
TALONT000010299	57	35
TALONT000010401	5	1
TALONT000010410	1	2
TALONT000010415	2	2
TALONT000010438	0	0
TALONT000010544	4	0
TALONT000010580	0	0
TALONT000010582	6	2
TALONT000010742	9	5
TALONT000010798	1	1
TALONT000011049	0	0
TALONT000011196	4	5
TALONT000011214	2	5
